id	page No.	title	romanlized	google translated	duration
400	468	သတော စ သမ္ပဇာနော	sato ca sampajāno	သ တော် စ သမ္ ပ ဇာ နော်	1
401	469	သုခဉ္စ ကာယေန ပဋိသံဝေဒေတိ	sukhañca kāyena paṭisaṃvedeti	I'm not sure if I'm going to be able to do that	1
402	470	ဥပေက္ခကော သတိမာ သုခဝိဟာရီ	upekkhako satimā sukhavihārī	I'm not sure if it's because I don't know what to do with it	2
403	472	စတုတ္ထဇ္ဈာနကထာ	catutthajjhānakathā	The fourth stanza	1
404	473	စတုတ္ထဈာန်	catutthajhānya	The fourth jhana	2
405	475	မေးမြန်းဖွယ်ရာ အချက်တစ်ရပ်	me”maြnya”phhayyarā akhaျkyatacyarapya	A question to ask	2
406	477	အဒုက္ခမသုခံ	adukkhamasukhaṃ	I do not suffer	1
407	478	ဥပေက္ခာ သတိ ပါရိသုဒ္ဓိံ	upekkhā sati pārisuddhiṃ	Upekkha Satiparisuddhi	1
408	479	ချီးမွမ်းရခြင်း၏ အကြောင်းရင်း	khaျီ”mhamya”rakhaြငya”၏ akaြောငya”raငya”	Reason for Praise	1
409	480	ပဉ္စကနည်း	pañcakanaññya”	What?	1
410	481	ဝိပဿနာကူးပုံ အကျဉ်းချုပ်	vipassanākū”puṃ akaျñya”khaျုpya	Summary of Vipassana transmission	2
411	483	အထူးမှာကြားချက်	athū”maှာkaြာ”khaျkya	Special order	0
412	483	ဒုတိယ စတုက္က	dutiya catukka	The second stock	4
413	487	တတိယ စတုက္က	tatiya catukka	Third Stake	3
414	490	သတိပြုရန်အချက်	satipaြုranyaakhaျkya	A word of caution	0
415	490	စတုတ္ထ စတုက္က	catuttha catukka	The fourth stump	7
416	497	အနုပဿနာလေးပါး	anupassanāle”pā”	The Four Noble Truths	1
417	498	သမာဓိ၏ အကျိုးဂုဏ်အင်အာနိသင် ငါးပါး	samādhi၏ akaျို”guṇyaaငyaānisaငya ငါ”pā”	Five Benefits of Integrity	0
418	498	၁။ ဒိဋ္ဌဓမ္မ သုခဝိဟာရာနိသံသာ	1． diṭṭhadhamma sukhavihārānisaṃsā	1. Ditta Dhamma Thukha Viharani Sangha	0
419	498	၂။ ဝိပဿနာနိသံသာ	2． vipassanānisaṃsā	2. Vipassana Dhamma	1
420	499	၃။ အဘိညာနိသံသာ	3． abhiññānisaṃsā	3. Abhiyani Sangha	0
421	499	၄။ ဘ၀ဝိသေသာနိသံသာ	4． bha0visesānisaṃsā	4. Life is unique	2
422	501	၅။ နိရောဓာနိသံသာ	5． nirodhānisaṃsā	5. Nirodhanisantha	1
423	502	စတုတ္ထဈာန်၏ ဂုဏ်အင်္ဂါ ရှစ်ပါး	catutthajhānya၏ guṇyaaṅgā raှcyapā”	The eight attributes of the fourth jhana	0
424	502	၁။ ပရိသုဒ္ဓ = စင်ကြယ်ခြင်း	1． parisuddha = caငyakaြyyakhaြငya”	1. Purity = purity	0
425	502	၂။ ပရိယောဒါတ = ပြိုးပြိုးပြက်ပြက် အရောင်တလက်လက် ရှိခြင်း	2． pariyodāta = paြို”paြို”paြkyapaြkya aroငyatalakyalakya raှိkhaြငya”	2. Priyodata = having a bright color	1
426	503	၃။ အနင်္ဂဏ = လောဘ-ဒေါသ အညစ်အကြေး ကင်းခြင်း	3． anaṅgaṇa = lobha-dosa aññacyaakaြေ” kaငya”khaြငya”	3. Anangana = greed - the filth of anger	0
427	503	၄။ ဝိဂတူပက္ကိလေသ = ဥပက္ကိလေသ အညစ်အကြေး ကင်းခြင်း	4． vigatūpakkilesa = upakkilesa aññacyaakaြေ” kaငya”khaြငya”	4. Vikatu Pakkiletha = Ukpakilatha Pollution	0
428	503	၅။ မုဒုဘူတ = နူးညံ့ခြင်း	5． mudubhūta = nū”ññaṃ’khaြငya”	5. Mudubuta = tenderness	0
429	503	၆။ ကမ္မနိယ = ဘာ၀နာမှု၌ ခံ့ညားမှု ရှိခြင်း	6． kammaniya = bhā0nāmaှု၌ khaṃ’ññā”maှု raှိkhaြငya”	6. Kamma = perseverance in meditation	1
430	504	၇။ ဌိတ = တည်တံ့မှု ရှိခြင်း	7． ṭhita = taññyataṃ’maှု raှိkhaြငya”	7. Chitta = sustainability	0
431	504	၈။ အာနေဉ္ဇပ္ပတ္တ = မတုန်လှုပ်ခြင်းသို့ ရောက်ရှိခြင်း	8． āneñjappatta = matunyalaှုpyakhaြငya”siု’ rokyaraှိkhaြငya”	8. Enlightenment = reaching unshakable	0
432	504	၇။ ဌိတ = တည်တံ့မှု ရှိခြင်း	7． ṭhita = taññyataṃ’maှု raှိkhaြငya”	7. Chitta = sustainability	1
433	505	၈။ အာနေဉ္ဇပ္ပတ္တ = တုန်လှုပ်မှု မရှိခြင်း	8． āneñjappatta = tunyalaှုpyamaှု maraှိkhaြငya”	8. Annejjapatta = no trembling	1
434	506	တစ်နည်း ဂုဏ်အင်္ဂါ ရှစ်ပါး	tacyanaññya” guṇyaaṅgā raှcyapā”	One of the eight attributes	4
435	510	ဉာဏ်ရောင် အကြောင်း	ñāṇyaroငya akaြောငya”	About intelligence	0
436	510	ဩဘာသ သုတ္တန်	obhāsa suttanya	ဩ Religion Sutta	0
437	510	ပညာရောင် = ဉာဏ်ရောင်	paññāroငya = ñāṇyaroငya	Wisdom = Wisdom	2
438	512	ပစလာယမာနသုတ္တန် ကောက်နုတ်ချက်	pacalāyamānasuttanya kokyanutyakhaျkya	Excerpt from Pasalayamana Sutta	0
439	512	အာလောကသညာ	ālokasaññā	The world perception	5
440	517	မဟာဋီကာ၏ အဖွင့်	mahāṭīkā၏ aphhaင’ya	The opening of the Mahatika	1
441	518	ဥပက္ကိလေသာလောက	upakkilesāloka	The world of apathy	0
442	518	ဉာဏ်ရောင်ဆိုတာ ဘာလဲ¿	ñāṇyaroငyachiုtā bhālaဲ¿	What is Wisdom?	3
443	521	အနီးစပ်ဆုံး အကြောင်းတစ်ရပ်	anī”capyachuṃ” akaြောငya”tacyarapya	The closest thing	0
444	521	ဥပစာရ စကားဟု မှတ်ပါ	upacāra cakā”hu maှtyapā	Think of it as a metaphor	1
445	522	ရူပါရုံအမျိုးမျိုးကို တွေ့မြင်နိုင်သည်	rūpāruṃamaျို”maျို”kiု the’maြငyaniုငyasaññya	You can see different visions	2
446	524	ကသိဏာလောက - ပရိကမ္မာလောက	kasiṇāloka - parikammāloka	The world of consciousness - the world of paradise	1
448	525	လင်းရောင်ခြည်ကို လက်မခံလိုသော ဆရာမြတ်တို့၏ အကြောင်းပြချက်	laငya”roငyakhaြññyakiု lakyamakhaṃliုso charāmaြtyatiု’၏ akaြောငya”paြkhaျkya	The reason why the great teachers do not want to accept the ray of light	1
449	526	အဓိစိတ္တသုတ္တန် ခေါ် နိမိတ္တသုတ္တန်	adhicittasuttanya khoya nimittasuttanya	The Sutta of the Supreme Personality of Godhead	1
450	527	အဓိစိတ္တ ဟူသည်	adhicitta hūsaññya	It is the essence	1
451	528	ပဘဿရ - ပရိယောဒါတ	pabhassara - pariyodāta	Pabhasara: Pariyodata	3
452	531	အရောင်အလင်းချင်း ရောထွေးတတ်ပုံ	aroငyaalaငya”khaျငya” rothhe”tatyapuṃ	How to mix colors with light	1
453	532	မေးမြန်းသင့်သော အချက်တစ်ရပ်	me”maြnya”saင’yaso akhaျkyatacyarapya	One thing to ask	3
454	535	ရုပ်ကမ္မဋ္ဌာန်းပိုင်း	rupyakammaṭṭhānya”piုငya”	Physical discipline	
455	535	ပညာဘူမိ-မူလ-သရီရ၀ဝတ္ထာန	paññābhūmi-mūla-sarīra0vatthāna	Wisdom Land - Original - Sariyawattana	1
456	536	သီလဝိသုဒ္ဓိ	sīlavisuddhi	Thila Vidudhi	1
457	537	စိတ္တဝိသုဒ္ဓိ	cittavisuddhi	စိတ် ဝိ သဒ္ ဓိ	2
458	539	ဒိဋ္ဌိဝိသုဒ္ဓိ	diṭṭhivisuddhi	Ditthi Visuddhi	0
459	539	ယေဘုယျ စည်းကမ်း သတ်မှတ်ချက်	yebhuyaျ caññya”kamya” satyamaှtyakhaျkya	General Terms and Conditions	2
460	541	သမထယာနိက	samathayānika	Samatha Yanika	0
461	541	နေ၀သညာနာသညာယတနဈာန်	ne0saññānāsaññāyatanajhānya	Sun-consciousness	0
462	541	အာနာပါနကျင့်စဉ်မှ ဒိဋ္ဌိဝိသုဒ္ဓိသို့	ānāpānakaျင’yacañyamaှ diṭṭhivisuddhisiု’	From the practice of ပါnပါpနna to Ditthi Visuddhi	1
463	542	ဝေနေယျဇ္ဈာသယ	veneyaျjjhāsaya	I'm not sure what to do	1
464	543	ဣန္ဒြိယဘေဒ = ဣန္ဒြေ ကွဲပြားမှု	indaြိyabheda = indaြေ khaဲpaြာ”maှု	Indian Buddhism = the difference between the senses	0
465	543	အဇ္ဈာသယဓာတ် - အကြိုက်ချင်း မတူညီသူများ	ajjhāsayadhātya - akaြိုkyakhaျငya” matūññīsūmaျာ”	Acupuncture: People with different tastes	1
466	544	သတိပြုရမည့် အချက်	satipaြုramañña’ya akhaျkya	Note:	0
467	544	ဣန္ဒြေ (၂၂) ပါး	indaြေ (22) pā”	22 senses	0
468	544	သစ္စာနှင့် ပဋိစ္စသမုပ္ပါဒ်	saccānaှင’ya paṭiccasamuppādya	Faith and the law of truth	1
469	545	ရုပ် (၂၈) ပါး	rupya (28) pā”	28 figures	0
470	545	မဟာဘုတ် (= ဓာတ်ကြီး) လေးပါး	mahābhutya (= dhātyakaြီ”) le”pā”	Four Great Boards	1
471	546	ပသာဒရုပ် = အကြည်ရုပ် = အကြည်ဓာတ် ငါးပါး	pasādarupya = akaြññyarupya = akaြññyadhātya ငါ”pā”	Pathadarup = Transcendence = The five elements	0
472	546	ဂေါစရရုပ် = အာရုံရုပ် (၇) မျိုး	gocararupya = āruṃrupya (7) maျို”	Gossip = seven kinds of senses	0
473	546	ဘာ၀ရုပ် (၂) ပါး	bhā0rupya (2) pā”	Two life forms	1
474	547	ဟဒယဝတ္ထုရုပ် တစ်ပါး	hadayavatthurupya tacyapā”	A Hadaya novel	0
475	547	ဇီဝိတရုပ် တစ်ပါး	jīvitarupya tacyapā”	A living thing	0
476	547	အာဟာရဇရုပ် တစ်ပါး	āhārajarupya tacyapā”	A nutritional figure	2
477	549	ရုပ်အစစ် (၁၈) ပါး	rupyaacacya (18) pā”	18 real figures	0
478	549	အနိပ္ဖန္နရုပ် = ရုပ်အတု (၁၀) မျိုး	anipphannarupya = rupyaatu (10) maျို”	Nirvana = 10 kinds of idols	1
479	550	လက္ခဏရုပ် (၄) ပါး	lakkhaṇarupya (4) pā”	Four characteristics	1
480	551	ဘူတရုပ်နှင့် ဥပါဒါရုပ်	bhūtarupyanaှင’ya upādārupya	Bhutara and Upada	0
481	551	ရုပ်တို့၏ ဖြစ်ပုံသဘော	rupyatiု’၏ phaြcyapuṃsabho	The nature of matter	1
482	552	ဓာတ်ကြီးလေးပါးကို စတင် သိမ်းဆည်းပုံ	dhātyakaြီ”le”pā”kiု cataငya simya”chaññya”puṃ	How to start storing the four elements	1
483	553	ဓာတုမနသိကာရပဗ္ဗ	dhātumanasikārapabba	Chemical ignorance	1
484	554	ဆိုလိုသော သဘောတရား	chiုliုso sabhotarā”	Meaning	1
485	555	ဃနဝိနိဗ္ဘောဂ	ghanavinibbhoga	ဃ Navinibb ဘောga	0
486	555	အဋ္ဌကထာ၏ လုပ်ငန်းခွင်ညွှန်ကြားချက် (၁)	aṭṭhakathā၏ lupyaငnya”khhaငyaññhaှnyakaြာ”khaျkya (1)	Work Instruction of the Eightfold Path (1)	1
487	556	အဋ္ဌကထာ၏ လုပ်ငန်းခွင်ညွှန်ကြားချက် (၂)	aṭṭhakathā၏ lupyaငnya”khhaငyaññhaှnyakaြာ”khaျkya (2)	Work Instruction of the Eightfold Path (2)	1
488	557	ရူပန္တွေ၀ သင်္ခံ ဂစ္ဆတိ	rūpanthe0 saṅkhaṃ gacchati	Gissati of the material world	0
489	557	ညွှန်ကြားချက် နှစ်ရပ်တို့၏ ထူးခြားမှု	ññhaှnyakaြာ”khaျkya naှcyarapyatiု’၏ thū”khaြာ”maှု	Distinguish between the two instructions	1
490	558	စတုဓာတု၀ဝတ္ထာနဘာ၀နာ	catudhātu0vatthānabhā0nā	Fourth chemical meditation	1
491	559	ဓာတ်ကမ္မဋ္ဌာန်း ရှုပွားသူ ပုဂ္ဂိုလ် နှစ်မျိုး	dhātyakammaṭṭhānya” raှုphā”sū puggiုlya naှcyamaျို”	There are two types of meditators	1
492	560	အကျဉ်းနည်း - အကျယ်နည်း	akaျñya”naññya” - akaျyyanaññya”	Short - wide	0
493	560	ကမ္မဋ္ဌာန်း ထင်ရှားပုံ - မထင်ရှားပုံ	kammaṭṭhānya” thaငyaraှာ”puṃ - mathaငyaraှာ”puṃ	How the Kamma Dharma is manifested or not	1
494	561	တိက္ခပညဝါ - နာတိတိက္ခပညဝါ	tikkhapaññavā - nātitikkhapaññavā	တိက် ခ ပညာ - န တိ တိက် ပညာ	0
495	561	ဓာတ်ဆိုတာဘာလဲ¿	dhātyachiုtābhālaဲ¿	What is electricity?	1
496	562	လက္ခဏ နှင့် ရသ	lakkhaṇa naှင’ya rasa	Symptoms	1
497	563	ဥပဋ္ဌာနာကာရ-ဟူသည်	upaṭṭhānākāra-hūsaññya	It is called Upathana Nakara	1
498	564	ထင်ရှားရာကို ရွေးချယ်ပါ	thaငyaraှာ”rākiု rhe”khaျyyapā	Choose the prominent one	0
499	564	ဓာတ်သဘော (၁၂) မျိုး	dhātyasabho (12) maျို”	Twelve elements	1
500	565	အကြောင်းပြချက်	akaြောငya”paြkhaျkya	the reason	1
501	566	မေးမြန်းဖွယ် အချက်တစ်ရပ်	me”maြnya”phhayya akhaျkyatacyarapya	A question to ask	3
502	569	အလုပ်စခန်းကို စတင်အားထုတ်ပုံ	alupyacakhanya”kiု cataငyaā”thutyapuṃ	How to start a work camp	0
503	569	၀-လုံးတန်းက စပါ	0-luṃ”tanya”ka capā	Start with 0	1
504	570	သမာဓိ ထူထောင်ပါ	samādhi thūthoငyapā	Establish Integrity	0
505	570	သမုဒီရဏရသ = တွန်းကန်မှုသဘော	samudīraṇarasa = thanya”kanyamaှုsabho	The meaning of repulsion = repulsion	2
506	572	ကက္ခဠတ္တလက္ခဏာ = မာမှုသဘော	kakkhaḷattalakkhaṇā = māmaှုsabho	Character = toughness	0
507	572	အံကြိတ်တရား မဟုတ်ပါ	aံkaြိtyatarā” mahutyapā	Not grinding teeth	2
508	574	ထဒ္ဓဘာ၀ = ကြမ်းမှုသဘော	thaddhabhā0 = kaြmya”maှုsabho	Thaddhava = roughness	0
509	574	ဂရုက = လေးမှုသဘော	garuka = le”maှုsabho	Care = respect	0
510	574	ဝိတ္ထမ္ဘနလက္ခဏ = ထောက်ကန်မှုသဘော	vitthambhanalakkhaṇa = thokyakanyamaှုsabho	Vittambana sign = support	1
511	575	သမုဒီရဏ နှင့် ဝိတ္ထမ္ဘန	samudīraṇa naှင’ya vitthambhana	Samudirana and Vittambana	1
512	576	မုဒုက = ပျော့မှု = ပျော့ပျောင်းမှုသဘော	muduka = paျော’maှု = paျော’paျောငya”maှုsabho	Muduka = ​​softness = softness	0
513	576	သဏှ = ချောမှု - သဘောတရား	saṇaှ = khaျောmaှု - sabhotarā”	Gravity = smoothness - concept	1
514	577	လဟုက = ပေါ့မှုသဘောတရား	lahuka = po’maှုsabhotarā”	Lahu = The concept of lightness	0
515	577	ဥဏှဘာ၀ = ဥဏှတေဇော = ပူမှုသဘော	uṇaှbhā0 = uṇaှtejo = pūmaှုsabho	Enlightenment = Enlightenment = the meaning of heat	0
516	577	သီတဘာ၀ = သီတတေဇော = အေးမှုသဘော	sītabhā0 = sītatejo = aေ”maှုsabho	Sita Bhava = Sita Tay Zaw = the meaning of coolness	0
517	577	ဒြ၀ဘာ၀ = ပဂ္ဃရဏလက္ခဏာ = ယိုစီးမှုသဘောနှင့် ဖွဲ့စည်းမှုသဘော	daြ0bhā0 = paggharaṇalakkhaṇā = yiုcī”maှုsabhonaှင’ya phhaဲ’caññya”maှုsabho	Nature = characteristic = leakage and formation	1
518	578	အာပေါဓာတ်ကို ရှုလို့ မရနိုင်ဟူသော အယူအဆ	āpodhātyakiု raှုliု’ maraniုငyahūso ayūacha	The idea that you can't see apocalypse	2
519	580	ပဓာနိယင်္ဂတရား ငါးပါး	padhāniyaṅgatarā” ငါ”pā”	The Five Precepts	1
520	581	၁။ သဒ္ဓါတရား ရှိခြင်း (ပထမ ပဓာနိယင်္ဂတရား)	1． saddhātarā” raှိkhaြငya” (pathama padhāniyaṅgatarā”)	1. Faith (First Dhamma)	1
521	582	သဒ္ဓါ (၄) မျိုးနှင့် ဤ၌ လိုအပ်သော သဒ္ဓါ	saddhā (4) maျို”naှင’ya ī၌ liုapyaso saddhā	There are four kinds of faith and the faith needed here	1
522	583	ဘုရားရှင်၏ ဗောဓိဉာဏ်တော်မြတ်	bhurā”raှငya၏ bodhiñāṇyatoyamaြtya	God's wisdom	1
523	584	ဒေသနာ သီသမျှသာ ဖြစ်သည်	desanā sīsamaျှsā phaြcyasaññya	All the sermons	0
524	584	၂။ ကျန်းမာရေးကောင်းခြင်း (ဒုတိယ ပဓာနိယင်္ဂတရား)	2． kaျnya”māre”koငya”khaြငya” (dutiya padhāniyaṅgatarā”)	2. Good Health (Second Principle)	0
525	584	၃။ မာယာ-သာဌေယျ ကင်းခြင်း (တတိယ ပဓာနိယင်္ဂတရား)	3． māyā-sāṭheyaျ kaငya”khaြငya” (tatiya padhāniyaṅgatarā”)	3. Maya - Abstinence (Third Dhamma)	1
526	585	၄။ သမ္မပ္ပဓာန် လုံ့လဝီရိယ ရှိခြင်း (စတုတ္ထ ပဓာနိယင်္ဂတရား)	4． sammappadhānya luṃ’lavīriya raှိkhaြငya” (catuttha padhāniyaṅgatarā”)	4. Dhammapadhana Diligence (Fourth Dhamma)	0
527	585	၅။ ဝိပဿနာဉာဏ်ပညာနှင့် ပြည့်စုံခြင်း (ပဉ္စမ ပဓာနိယင်္ဂတရား)	5． vipassanāñāṇyapaññānaှင’ya paြñña’yacuṅkhaြငya” (pañcama padhāniyaṅgatarā”)	5. Perfection of Vipassana Wisdom (Fifth Principle)	1
528	586	နိုင်နင်းအောင်လေ့ကျင့်ပါ	niုငyanaငya”aောငyale’kaျင’yapā	Keep rehearsing it until you can say it with conviction and confidence	0
529	586	က-ကြီး ခ-ခွေး တန်း	ka-kaြီ” kha-khhe” tanya”	A - Big B - Dog ranch	0
530	586	ဓာတ်ကြီး (၄)ပါးကို ခြုံ၍ သမာဓိထူထောင်ပါ	dhātyakaြီ” (4)pā”kiု khaြုံ၍ samādhithūthoငyapā	Build integrity by covering the four elements	1
531	587	ဤအချိန်တွင် နှလုံးကို မစိုက်ပါနှင့်	īakhaျိnyathaငya naှluṃ”kiု maciုkyapānaှင’ya	Do not plant your heart at this time	0
532	587	လေးချက် - ပြောင်းရှုပါ၊	le”khaျkya - paြောငya”raှုpā，	Step # 4- Discovering Your Purpose	1
533	588	မနသိကာရ ကောသလ္လတရား (၁၀) ပါး	manasikāra kosallatarā” (10) pā”	The Ten Unwholesome Dhammas	0
534	588	၁။ အနုပုဗ္ဗတော = အစဉ်အတိုင်း ရှုပါ	1． anupubbato = acañyaatiုငya” raှုpā	1. Anu Pobbataw = See in order	0
535	588	၂။ နာတိသီဃတော = မမြန်လွန်းစေရ	2． nātisīghato = mamaြnyalhanya”cera	2. Nati Thi Taw = Do not be too fast	0
536	588	၃။ နာတိသဏိကတော = မနှေးလွန်းစေရ	3． nātisaṇikato = manaှေ”lhanya”cera	3. Nati Sanika = Do not be too slow	1
537	589	၄။ ဝိက္ခေပပဋိဗာဟနတော = အပြင်အာရုံကို မရှုရ	4． vikkhepapaṭibāhanato = apaြငyaāruṅkiု maraှုra	4. Vipassana Prabhup ဟda: Do not look at the external senses	1
538	590	အယူအဆ မမှားစေလိုပါ	ayūacha mamaှာ”celiုpā	I do not want to mislead you	0
539	590	သတိကြီးစွာဖြင့် သွားရမည်	satikaြီ”chāphaြင’ya shā”ramaññya	You have to be very careful	0
540	590	၅။ ပဏ္ဏတ္တိသမတိက္ကမနတော = ပညတ်ကို ကျော်အောင် ကျင့်ပါ	5． paṇṇattisamatikkamanato = paññatyakiု kaျောyaaောငya kaျင’yapā	5. Pandita Samatikkamanataw = Practice breaking the law	2
541	592	သုည-နိဿတ္တ-နိဇ္ဇီ၀	suñña-nissatta-nijjī0	Zero - Nitsatta - Niziva	0
542	592	ဗဟိဒ္ဓ၌ ထင်လာပုံ	bahiddha၌ thaငyalāpuṃ	How it appears in the external world	0
543	592	၆။ အနုပဋ္ဌာနမုဉ္စနတော = မထင်ရှားသော ဓာတ်အချို့ကို လွှတ်ထားနိုင်သည်	6． anupaṭṭhānamuñcanato = mathaငyaraှာ”so dhātyaakhaျို’kiု lhaှtyathā”niုငyasaññya	6. Anupatthana Mutsana forest = can release some invisible elements	1
544	593	သုခသမ္ဖဿ-ဒုက္ခသမ္ဖဿ	sukhasamphassa-dukkhasamphassa	Thukha Samphatha - Dukkha Samphatha	1
545	594	၇။ လက္ခဏတော = သဘာ၀လက္ခဏာကိုသာ ဦးစားပေး ရှုပါ	7． lakkhaṇato = sabhā0lakkhaṇākiုsā ū”cā”pe” raှုpā	7. Character forest = give priority to nature	1
546	595	၈။ အဓိစိတ္တသုတ္တန်	8． adhicittasuttanya	8. The essence of the mind	3
547	598	၉။ အနုတ္တရသီတိဘာ၀ သုတ္တန်	9． anuttarasītibhā0 suttanya	9. Anuttara Thiti Bhava Sutta	0
548	598	ဆိုလိုရင်း သဘောတရား	chiုliုraငya” sabhotarā”	Meaning	1
549	599	ပဏီတာဓိမုတ္တိက	paṇītādhimuttika	Panita Dimotti	0
550	599	၁၀။ ဗောဇ္ဈင်္ဂသုတ္တန် (အဂ္ဂိသုတ္တန်)	10． bojjhaṅgasuttanya (aggisuttanya)	10. Enlightenment Sutta (Aggi Sutta)	1
551	600	ဣရိယာပထနှင့် သမ္ပဇည ရှုကွက်	iriyāpathanaှင’ya sampajañña raှုkhakya	Iriyapatha and Sampaja view	1
552	601	သဘာ၀လက္ခဏာကိုသာ ဦးစားပေး၍ သမာဓိကို ထူထောင်ပါ	sabhā0lakkhaṇākiုsā ū”cā”pe”၍ samādhikiု thūthoငyapā	Build integrity by prioritizing nature	1
553	602	ဥပစာရဈာန်	upacārajhānya	For example	3
554	605	ထပ်မံ ရှင်းလင်းတင်ပြချက်	thapyamaṃ raှငya”laငya”taငyapaြkhaျkya	Further explanation	1
555	606	ဘဝင် ကျနေတတ်ပါသည်	bhavaငya kaျnetatyapāsaññya	It tends to fall into place	1
556	607	aUရှပြေး အမှတ်အသားများ	aUraှpaြေ” amaှtyaasā”maျာ”	aU Running Marks	0
557	607	အချို့ယောဂီများ၌ ဖြစ်တတ်ပုံအချို့	akhaျို’yogīmaျာ”၌ phaြcyatatyapuṃakhaျို’	Here are some suggestions on how to look or get an appointment for acne treatment	0
558	607	ဗဟိဒ္ဓ၌ ထင်လာပုံ	bahiddha၌ thaငyalāpuṃ	How it appears in the external world	2
559	609	အဖြူ နှင့် အကြည်ပြင်	aphaြူ naှင’ya akaြññyapaြငya	White and clear	2
560	611	ပါရမီရှင် သူတော်ကောင်းများ	pāramīraှငya sūtoyakoငya”maျာ”	Talented people	0
561	611	အာကာသဓာတ်ကို ရှုရန်	ākāsadhātyakiု raှုranya	To see the atmosphere	2
562	613	အာကာသဓာတ်ကို မြင်အောင် ရှုပုံ	ākāsadhātyakiု maြငyaaောငya raှုpuṃ	How to see space	0
563	613	အကြည်ဓာတ် (၆) ပါး	akaြññyadhātya (6) pā”	The six elements	1
564	614	နဒီသောတော ဝိယ - ဒီပဇာလာ ဝိယ	nadīsoto viya - dīpajālā viya	Nadi Thawawiya - Dipazalaviya	0
565	614	မြစ်ရေအယဉ်ကဲ့သို့ - ဆီမီးအလျှံကဲ့သို့	maြcyareyañyakaဲ’siု’ - chīmī”alaျှံkaဲ’siု’	Like a river, like a flood of lamps	1
566	615	အတုံးအခဲ အကြီး-အသေး	atuṃ”akhaဲ akaြီ”-ase”	Large or small lumps	0
567	615	ရုပ်ကလာပ်များကို တွေ့စအချိန်	rupyakalāpyamaျာ”kiု the’caakhaျိnya	When the bodies were first found	1
568	616	ရုပ်ကလာပ်တစ်ခု၏ ပမာဏ	rupyakalāpyatacyakhu၏ pamāṇa	The size of a corpse	1
569	617	အခက်အခဲ တစ်ရပ်	akhakyaakhaဲ tacyarapya	A challenge	0
570	617	ဘူတရုပ် = ဓာတ်လေးပါးနှင့် အကြည်ဓာတ်	bhūtarupya = dhātyale”pā”naှင’ya akaြññyadhātya	Buddhism = The Four Noble Truths	1
571	618	လမ်းလွဲသွားတတ်ပုံကို သတိပြုပါ	lamya”lhaဲshā”tatyapuṅkiု satipaြုpā	Beware of deviations	1
572	619	ပရမတ္ထ သစ္စာနယ်သို့	paramattha saccānayyasiု’	To the realm of Paramatman	1
573	620	ဣန္ဒြေ-ဗောဇ္ဈင်များ ညီမျှအောင် ကျင့်ပါ	indaြေ-bojjhaငyamaျာ” ññīmaျှaောငya kaျင’yapā	Practice the senses - the factors of enlightenment	1
574	621	ထိုက်သလို ဟူသည်	thiုkyasaliု hūsaññya	That's worth it	1
575	622	သတ္တသညာ-အတ္တသညာ ကွာပြီ	sattasaññā-attasaññā khāpaြီ	Satta-perception is different	2
576	624	(၄၂) ကောဋ္ဌာသသို့	(42) koṭṭhāsasiု’	(42) To the Department	0
577	624	ဗဟိဒ္ဓ၌ ထင်လာပုံ	bahiddha၌ thaငyalāpuṃ	How it appears in the external world	1
578	625	လမ်းသုံးသွယ်	lamya”suṃ”shayya	Three roads	3
579	628	ဓာတ်ကမ္မဋ္ဌာန်း အကျဉ်း - အကျယ်	dhātyakammaṭṭhānya” akaျñya” - akaျyya	Synopsis: Extensive	0
580	628	ဥပါဒါရုပ်များ ထင်ရှားလာပုံ	upādārupyamaျာ” thaငyaraှာ”lāpuṃ	How Upadasa Appears	2
581	630	ဥပါဒါရုပ်များကို ရှုပွားသိမ်းဆည်းပုံ	upādārupyamaျာ”kiု raှုphā”simya”chaññya”puṃ	How to save images	7
582	637	(၆) ဒွါရ၌ တည်ရှိသော ရုပ်ကလာပ်များ	(6) dhāra၌ taññyaraှိso rupyakalāpyamaျာ”	(6) The corpses located in Dwara	3
583	640	ရုပ်ကမ္မဋ္ဌာန်းပိုင်း ဇယားများ	rupyakammaṭṭhānya”piုငya” jayā”maျာ”	Physical table	6
584	646	ရူပနိဗ္ဗတ္တိပဿနာကာရ ရုပ်တို့၏ ဖြစ်မှုကို ရှုပုံ အခြင်းအရာ	rūpanibbattipassanākāra rupyatiု’၏ phaြcyamaှုkiု raှုpuṃ akhaြငya”arā	The way of looking at the origin of the material form of Nibb ဗna	1
585	647	ဆိုဖွယ် အထူးကား	chiုphhayya athū”kā”	What a special car	1
586	648	ချုပ်ပုံသဘော	khaျုpyapuṃsabho	Stitching concept	1
587	649	၁။ ကမ္မ = ကံ ဟူသည်	1． kamma = kaṃ hūsaññya	1. Kamma = kamma	2
588	651	၂။ ကမ္မသမုဋ္ဌာန = ကံလျှင်ဖြစ်ကြောင်းရှိသောတရား	2． kammasamuṭṭhāna = kaṃlaျှငyaphaြcyakaြောငya”raှိsotarā”	2. Kamma Samutthana = Dhamma that arises by chance	0
589	651	၃။ ကမ္မပစ္စယ = ကံဟူသော အထောက်အပံ့ရှိသောတရား	3． kammapaccaya = kaṃhūso athokyaapaṃ’raှိsotarā”	3. Dhamma with the support of kamma-pissya = kamma	1
